"year","ASL","X1","X2","Regione","Macro_Area"
"2018","LANCIANO VASTO CHIETI",-0.791124230229005,0.845437084358042,"Abruzzo","South"
"2018","LATINA",-1.44425566668561,3.30940701068425,"Lazio","Centre"
"2018","NO",2.0654531926785,-2.50760333011593,"Piemonte","North-West"
"2018","PESCARA",-0.503187789840215,0.728252886912968,"Abruzzo","South"
"2018","RIETI",-2.42631004948111,1.09915121369805,"Lazio","Centre"
"2018","ROMA 1",-2.93436307721877,2.27059157008451,"Lazio","Centre"
"2018","ROMA 2",-2.77905523757046,3.05619355766097,"Lazio","Centre"
"2018","ROMA 3",-2.87356435297039,3.00956989474037,"Lazio","Centre"
"2018","ROMA 4",-3.53131576129263,1.96698373742682,"Lazio","Centre"
"2018","ROMA 5",-1.7404088762474,2.62291295588162,"Lazio","Centre"
"2018","ROMA 6",-1.98541709307786,2.74274809394695,"Lazio","Centre"
"2018","SAVONESE",1.45104236047167,0.427981096837894,"Liguria","North-West"
"2018","SPEZZINO",-0.600447436922444,0.85435390813688,"Liguria","North-West"
"2018","TERAMO",-0.566470308250325,0.942727942726366,"Abruzzo","South"
"2018","TO3",3.71434757947443,0.400707383073826,"Piemonte","North-West"
"2018","TO4",3.10768195803715,-0.205190746647663,"Piemonte","North-West"
"2018","TO5",3.61163144700721,-0.185550358313017,"Piemonte","North-West"
"2018","TRENTO",-1.57310296685892,-2.41766058164588,"Trentino-Alto Adige","North-East"
"2018","VC",2.19245635974451,-1.62819430915045,"Piemonte","North-West"
"2018","VCO",2.76384926418863,-1.92485669300492,"Piemonte","North-West"
"2018","VITERBO",-2.56026419160116,0.571569791690596,"Lazio","Centre"
"2019","AL",2.1478578064614,0.435966544732681,"Piemonte","North-West"
"2019","AS FRIULI OCCIDENTALE",-0.666776336416009,-5.70561808267314,"Friuli-Venezia Giulia","North-East"
"2019","ASL AVELLINO",1.14875495711994,2.52591361934039,"Campania","South"
"2019","ASL BA",-0.30518588354346,0.312502469175931,"Puglia","South"
"2019","ASL BAT",-0.277630191226614,0.352713630782286,"Puglia","South"
"2019","ASL BENEVENTO",0.735765502663283,3.13332943407449,"Campania","South"
"2019","ASL BR",0.457081077869457,0.570878915156189,"Puglia","South"
"2019","ASL CASERTA",0.957375724708547,4.23695161291636,"Campania","South"
"2019","ASL CITTA' DI TORINO",5.47358752878057,0.654262669803682,"Piemonte","North-West"
"2019","ASL FG",-0.502708585910234,0.578966732896305,"Puglia","South"
"2019","ASL LE",-0.0448006911431665,0.278005040127006,"Puglia","South"
"2019","ASL N 1 DI SASSARI",-2.4193413024512,-2.26758482147364,"Sardegna","Islands"
"2019","ASL N 2 DELLA GALLURA",-0.221501556419585,0.43237773875373,"Sardegna","Islands"
"2019","ASL N 3 DI NUORO",-0.923805075848326,-1.41857352503942,"Sardegna","Islands"
"2019","ASL N 5 DI ORISTANO",-1.21233327516037,-1.80590841844543,"Sardegna","Islands"
"2019","ASL N 6 DEL MEDIO CAMPIDANO",-1.40796369326677,0.0808360824106871,"Sardegna","Islands"
"2019","ASL N 7 DEL SULCIS",-1.61149572072894,-1.93085852204532,"Sardegna","Islands"
"2019","ASL N 8 DI CAGLIARI",-1.74408154380513,-3.54248067361138,"Sardegna","Islands"
"2019","ASL NAPOLI 1 CENTRO",1.93931903585835,3.38215233722644,"Campania","South"
"2019","ASL NAPOLI 2 NORD",2.88518912692366,3.73644797253727,"Campania","South"
"2019","ASL NAPOLI 3 SUD",1.74972508705675,2.66491952040017,"Campania","South"
"2019","ASL SALERNO",0.95621750597825,2.11219382283776,"Campania","South"
"2019","ASL TA",0.367086001313805,0.368949722894437,"Puglia","South"
"2019","ASP AGRIGENTO",0.807022526067923,1.45510089851458,"Sicilia","Islands"
"2019","ASP CALTANISSETTA",1.71699757300208,1.90073740976235,"Sicilia","Islands"
"2019","ASP CATANIA",0.334150358271028,3.23363142605086,"Sicilia","Islands"
"2019","ASP CATANZARO",-0.0640970421518385,1.023997551688,"Calabria","South"
"2019","ASP COSENZA",0.282994227944528,1.91543438891379,"Calabria","South"
"2019","ASP CROTONE",0.495312312928362,1.78600836893519,"Calabria","South"
"2019","ASP DI TRAPANI",1.48461196740898,1.1060632327016,"Sicilia","Islands"
"2019","ASP ENNA",0.881842354571154,2.71953225925953,"Sicilia","Islands"
"2019","ASP MESSINA",0.239283134082207,2.28661423626818,"Sicilia","Islands"
"2019","ASP PALERMO",1.38709507014412,1.38218754098978,"Sicilia","Islands"
"2019","ASP RAGUSA",1.22307812350895,0.964775574366579,"Sicilia","Islands"
"2019","ASP REGGIO CALABRIA",0.525859530978317,1.65006521900744,"Calabria","South"
"2019","ASP SIRACUSA",2.5057217061946,2.65546656374033,"Sicilia","Islands"
"2019","ASP VIBO VALENTIA",-0.0053222595447011,1.7021369923751,"Calabria","South"
"2019","ASREM",-1.24296913915519,1.42147737055905,"Molise","South"
"2019","AST1 DI PESARO E URBINO",0.0736275500248584,1.19912335919492,"Marche","Centre"
"2019","AST2 DI ANCONA",-1.30545497016709,0.177154091176858,"Marche","Centre"
"2019","AST3 DI MACERATA",-1.41255688324241,-0.160845007041872,"Marche","Centre"
"2019","AST4 DI FERMO",-1.81201315098196,1.04417238365125,"Marche","Centre"
"2019","AST5 DI ASCOLI PICENO",-0.594096789964107,0.0734236941665951,"Marche","Centre"
"2019","ASU FRIULI CENTRALE",0.59218748614487,-4.67811678138366,"Friuli-Venezia Giulia","North-East"
"2019","ASU GIULIANO ISONTINA",0.442752251400323,-5.32871948255512,"Friuli-Venezia Giulia","North-East"
"2019","AT",3.28728523284414,1.52544393373008,"Piemonte","North-West"
"2019","ATS DELL'INSUBRIA",1.80292887078639,-1.52703099419227,"Lombardia","North-West"
"2019","ATS DELLA BRIANZA",1.55623590180286,-1.10170245579891,"Lombardia","North-West"
"2019","ATS DELLA CITTA' METROPOLITANA DI MILANO",1.6280188175567,-0.887167801791906,"Lombardia","North-West"
"2019","ATS DELLA MONTAGNA",0.995561200219117,-2.05214239856204,"Lombardia","North-West"
"2019","ATS DELLA VAL PADANA",0.283824030030213,-2.77049589297645,"Lombardia","North-West"
"2019","ATS DI BERGAMO",1.03570654462834,-1.17542322597103,"Lombardia","North-West"
"2019","ATS DI BRESCIA",0.0744138807941851,-2.76623638023672,"Lombardia","North-West"
"2019","ATS DI PAVIA",1.7616568400139,-1.03632339759718,"Lombardia","North-West"
"2019","AUSL UMBRIA N 1",-2.83626476772703,0.270279367705258,"Umbria","Centre"
"2019","AUSL UMBRIA N 2",-3.05958402070148,0.288224642390127,"Umbria","Centre"
"2019","AVEZZANO SULMONA L'AQUILA",-2.06604577684341,2.33246444281153,"Abruzzo","South"
"2019","AZIENDA SANITARIA DELLA PA DI BOLZANO",-0.800946795121281,-3.19253120815859,"Trentino-Alto Adige","North-East"
"2019","AZIENDA SANITARIA LOCALE DI MATERA ASM",-0.206220142002419,0.99399916174101,"Basilicata","South"
"2019","AZIENDA SANITARIA LOCALE DI POTENZA ASP",-0.265817818796963,1.69799699929825,"Basilicata","South"
